express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
OO-Skywest,5195,SFO,DEN,2025-11-08,0477,2025-11-08 10:15:00,2025-11-08 13:55:00,2025-11-08 19:00:00,2025-11-08 21:44:00
OO-Skywest,5195,PIA,DEN,2025-11-10,0471,2025-11-10 11:00:00,2025-11-10 12:20:00,2025-11-10 20:58:00,2025-11-11 00:14:00
OO-Skywest,5196,COS,HOB,2025-11-08,0960,2025-11-08 09:50:00,2025-11-08 11:30:00,2025-11-08 16:28:00,2025-11-08 17:54:00
OO-Skywest,5197,DEN,RIW,2025-11-08,0929,2025-11-08 15:45:00,2025-11-08 16:55:00,2025-11-08 22:44:00,2025-11-09 00:05:00
OO-Skywest,5197,CRW,ORD,2025-11-12,1925,2025-11-12 14:00:00,2025-11-12 14:15:00,2025-11-12 20:16:00,2025-11-12 22:50:00
OO-Skywest,5197,ATW,FWA,2025-11-09,0954,2025-11-09 20:30:00,2025-11-09 22:55:00,2025-11-10 02:20:00,2025-11-10 03:37:00
OO-Skywest,5197,FAR,ORD,2025-11-10,0119,2025-11-10 10:40:00,2025-11-10 12:55:00,2025-11-11 15:51:00,2025-11-11 18:21:00
OO-Skywest,5198,PIA,CAK,2025-11-09,0914,2025-11-09 19:20:00,2025-11-09 22:02:00,2025-11-10 01:31:00,2025-11-10 03:07:00
OO-Skywest,5198,HOB,DEN,2025-11-08,0969,2025-11-08 17:15:00,2025-11-08 19:00:00,2025-11-09 00:29:00,2025-11-09 02:09:00
OO-Skywest,5199,MBS,SBN,2025-11-09,0506,2025-11-09 21:00:00,2025-11-09 22:10:00,2025-11-10 01:37:00,2025-11-10 03:03:00
OO-Skywest,5199,ROW,ORD,2025-11-11,0753,2025-11-11 19:00:00,2025-11-11 23:00:00,2025-11-12 04:25:00,2025-11-12 07:11:00
OO-Skywest,5199,COS,SLC,2025-11-10,0929,2025-11-10 09:00:00,2025-11-10 10:37:00,2025-11-10 15:52:00,2025-11-10 18:08:00
OO-Skywest,5200,ORD,MGW,2025-11-08,0953,2025-11-08 08:15:00,2025-11-08 11:00:00,2025-11-08 14:12:00,2025-11-08 15:49:00
OO-Skywest,5200,EAU,TYS,2025-11-09,0463,2025-11-09 18:30:00,2025-11-09 21:50:00,2025-11-10 00:23:00,2025-11-10 02:27:00
OO-Skywest,5200,CHO,ORD,2025-11-10,0771,2025-11-10 10:40:00,2025-11-10 11:15:00,2025-11-10 18:17:00,2025-11-10 20:03:00
OO-Skywest,5201,LAF,MGW,2025-11-09,0445,2025-11-09 19:30:00,2025-11-09 21:05:00,2025-11-10 00:46:00,2025-11-10 02:12:00
OO-Skywest,5202,BFM,SBN,2025-11-10,0218,2025-11-10 16:15:00,2025-11-10 19:30:00,2025-11-10 23:33:00,2025-11-11 01:58:00
OO-Skywest,5202,DEN,HLN,2025-11-07,0141,2025-11-07 18:20:00,2025-11-07 20:00:00,2025-11-08 01:40:00,2025-11-08 03:50:00
OO-Skywest,5202,CAK,JST,2025-11-09,1223,2025-11-09 21:00:00,2025-11-09 22:05:00,2025-11-10 00:30:00,2025-11-10 01:35:00
